date,route,origin,destination,price_google,price_skyscanner,airline,escales,depart,retour,booking_url
2026-04-01 14:35,Montreal -> Tokyo Narita,YUL,NRT,1884,,Qatar Airways,1 escale(s),2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+NRT+on+2026-06-30+return+2026-07-07
2026-04-01 14:36,Montreal -> Tokyo Haneda,YUL,HND,1430,,Air Canada et ANA,1 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+HND+on+2026-05-01+return+2026-05-08
2026-04-01 14:36,Montreal -> Tokyo Haneda,YUL,HND,1824,,Qatar Airways et JAL,1 escale(s),2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+HND+on+2026-05-31+return+2026-06-07
2026-04-01 14:36,Montreal -> Tokyo Haneda,YUL,HND,1782,,Air Canada et ANA,1 escale(s),2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+HND+on+2026-06-30+return+2026-07-07
2026-04-01 14:36,Montreal -> Punta Cana,YUL,PUJ,610,,Arajet,Direct,2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+PUJ+on+2026-05-01+return+2026-05-08
2026-04-01 14:36,Montreal -> Punta Cana,YUL,PUJ,497,,WestJet,1 escale(s),2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+PUJ+on+2026-05-31+return+2026-06-07
2026-04-01 14:37,Montreal -> Punta Cana,YUL,PUJ,627,,Air Canada,Direct,2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+PUJ+on+2026-06-30+return+2026-07-07
2026-04-01 14:37,Montreal -> Hawai,YUL,HNL,653,,Delta,1 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+HNL+on+2026-05-01+return+2026-05-08
2026-04-01 14:37,Montreal -> Hawai,YUL,HNL,808,,Delta,2 escale(s),2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+HNL+on+2026-05-31+return+2026-06-07
2026-04-01 14:37,Montreal -> Hawai,YUL,HNL,728,,Delta,2 escale(s),2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+HNL+on+2026-06-30+return+2026-07-07
2026-04-01 14:37,Montreal -> New York,YUL,JFK,334,,YUL–JFK,Direct,2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+JFK+on+2026-05-01+return+2026-05-08
2026-04-01 14:38,Montreal -> New York,YUL,JFK,396,,Air Canada,1 escale(s),2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+JFK+on+2026-05-31+return+2026-06-07
2026-04-01 14:38,Montreal -> New York,YUL,JFK,343,,YUL–JFK,Direct,2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+JFK+on+2026-06-30+return+2026-07-07
2026-04-01 14:38,Montreal -> Miami,YUL,MIA,489,,American,1 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+MIA+on+2026-05-01+return+2026-05-08
2026-04-01 14:38,Montreal -> Miami,YUL,MIA,518,,Air Canada,Direct,2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+MIA+on+2026-05-31+return+2026-06-07
2026-04-01 14:38,Montreal -> Miami,YUL,MIA,567,,Air Canada,Direct,2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+MIA+on+2026-06-30+return+2026-07-07
2026-04-01 15:04,Montreal -> Paris,YUL,CDG,1085,,Air Transat,1 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+CDG+on+2026-05-01+return+2026-05-08
2026-04-01 15:04,Montreal -> Paris,YUL,CDG,759,,Air TransatPorter Airlines,Direct,2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+CDG+on+2026-05-31+return+2026-06-07
2026-04-01 15:04,Montreal -> Paris,YUL,CDG,1077,,Air FranceDelta,Direct,2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+CDG+on+2026-06-30+return+2026-07-07
2026-04-01 15:04,Montreal -> Cancun,YUL,CUN,459,,United,2 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+CUN+on+2026-05-01+return+2026-05-08
2026-04-01 15:05,Montreal -> Cancun,YUL,CUN,460,,Air Transat,Direct,2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+CUN+on+2026-05-31+return+2026-06-07
2026-04-01 15:05,Montreal -> Cancun,YUL,CUN,553,,Aeromexico,1 escale(s),2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+CUN+on+2026-06-30+return+2026-07-07
2026-04-01 15:05,Montreal -> Tokyo Narita,YUL,NRT,1432,,United,1 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+NRT+on+2026-05-01+return+2026-05-08
2026-04-01 15:05,Montreal -> Tokyo Narita,YUL,NRT,1732,,Air Canada et United,1 escale(s),2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+NRT+on+2026-05-31+return+2026-06-07
2026-04-01 15:05,Montreal -> Tokyo Narita,YUL,NRT,1884,,Qatar Airways,1 escale(s),2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+NRT+on+2026-06-30+return+2026-07-07
2026-04-01 15:06,Montreal -> Tokyo Haneda,YUL,HND,1430,,Air Canada et ANA,1 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+HND+on+2026-05-01+return+2026-05-08
2026-04-01 15:06,Montreal -> Tokyo Haneda,YUL,HND,1824,,Qatar Airways et JAL,1 escale(s),2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+HND+on+2026-05-31+return+2026-06-07
2026-04-01 15:06,Montreal -> Tokyo Haneda,YUL,HND,1793,,Air Canada et ANA,1 escale(s),2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+HND+on+2026-06-30+return+2026-07-07
2026-04-01 15:06,Montreal -> Punta Cana,YUL,PUJ,610,,Arajet,Direct,2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+PUJ+on+2026-05-01+return+2026-05-08
2026-04-01 15:06,Montreal -> Punta Cana,YUL,PUJ,458,,Air CanadaVol opéré par Air Canada Rouge,Direct,2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+PUJ+on+2026-05-31+return+2026-06-07
2026-04-01 15:07,Montreal -> Punta Cana,YUL,PUJ,627,,Air Canada,Direct,2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+PUJ+on+2026-06-30+return+2026-07-07
2026-04-01 15:07,Montreal -> Hawai,YUL,HNL,653,,Delta,1 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+HNL+on+2026-05-01+return+2026-05-08
2026-04-01 15:07,Montreal -> Hawai,YUL,HNL,808,,Delta,2 escale(s),2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+HNL+on+2026-05-31+return+2026-06-07
2026-04-01 15:07,Montreal -> Hawai,YUL,HNL,728,,Delta,2 escale(s),2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+HNL+on+2026-06-30+return+2026-07-07
2026-04-01 15:07,Montreal -> New York,YUL,JFK,334,,YUL–JFK,Direct,2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+JFK+on+2026-05-01+return+2026-05-08
2026-04-01 15:08,Montreal -> New York,YUL,JFK,396,,Air Canada,1 escale(s),2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+JFK+on+2026-05-31+return+2026-06-07
2026-04-01 15:08,Montreal -> New York,YUL,JFK,390,,Air Canada,1 escale(s),2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+JFK+on+2026-06-30+return+2026-07-07
2026-04-01 15:08,Montreal -> Miami,YUL,MIA,489,,American,1 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+MIA+on+2026-05-01+return+2026-05-08
2026-04-01 15:08,Montreal -> Miami,YUL,MIA,518,,Air Canada,Direct,2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+MIA+on+2026-05-31+return+2026-06-07
2026-04-01 15:08,Montreal -> Miami,YUL,MIA,567,,Air Canada,Direct,2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+MIA+on+2026-06-30+return+2026-07-07
2026-04-01 15:34,Montreal -> Paris,YUL,CDG,1085,,Air Transat,1 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+CDG+on+2026-05-01+return+2026-05-08
2026-04-01 15:34,Montreal -> Paris,YUL,CDG,759,,Air TransatPorter Airlines,Direct,2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+CDG+on+2026-05-31+return+2026-06-07
2026-04-01 15:34,Montreal -> Paris,YUL,CDG,1077,,Air FranceDelta,Direct,2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+CDG+on+2026-06-30+return+2026-07-07
2026-04-01 15:34,Montreal -> Cancun,YUL,CUN,459,,United,2 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+CUN+on+2026-05-01+return+2026-05-08
2026-04-01 15:35,Montreal -> Cancun,YUL,CUN,460,,Air Transat,Direct,2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+CUN+on+2026-05-31+return+2026-06-07
2026-04-01 15:35,Montreal -> Cancun,YUL,CUN,553,,Aeromexico,1 escale(s),2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+CUN+on+2026-06-30+return+2026-07-07
2026-04-01 15:35,Montreal -> Tokyo Narita,YUL,NRT,1235,,Air Canada,2 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+NRT+on+2026-05-01+return+2026-05-08
2026-04-01 15:35,Montreal -> Tokyo Narita,YUL,NRT,1372,,Qatar Airways,1 escale(s),2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+NRT+on+2026-05-31+return+2026-06-07
2026-04-01 15:35,Montreal -> Tokyo Narita,YUL,NRT,1884,,Qatar Airways,1 escale(s),2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+NRT+on+2026-06-30+return+2026-07-07
2026-04-01 15:36,Montreal -> Tokyo Haneda,YUL,HND,1430,,Air Canada et ANA,1 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+HND+on+2026-05-01+return+2026-05-08
2026-04-01 15:36,Montreal -> Tokyo Haneda,YUL,HND,1374,,Qatar Airways et JAL,1 escale(s),2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+HND+on+2026-05-31+return+2026-06-07
2026-04-01 15:36,Montreal -> Tokyo Haneda,YUL,HND,1886,,Qatar Airways et JAL,1 escale(s),2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+HND+on+2026-06-30+return+2026-07-07
2026-04-01 15:36,Montreal -> Punta Cana,YUL,PUJ,607,,Air Canada,1 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+PUJ+on+2026-05-01+return+2026-05-08
2026-04-01 15:36,Montreal -> Punta Cana,YUL,PUJ,458,,Air CanadaVol opéré par Air Canada Rouge,Direct,2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+PUJ+on+2026-05-31+return+2026-06-07
2026-04-01 15:37,Montreal -> Punta Cana,YUL,PUJ,627,,Air Canada,Direct,2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+PUJ+on+2026-06-30+return+2026-07-07
2026-04-01 15:37,Montreal -> Hawai,YUL,HNL,653,,Delta,1 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+HNL+on+2026-05-01+return+2026-05-08
2026-04-01 15:37,Montreal -> Hawai,YUL,HNL,808,,Delta,2 escale(s),2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+HNL+on+2026-05-31+return+2026-06-07
2026-04-01 15:37,Montreal -> Hawai,YUL,HNL,728,,Delta,2 escale(s),2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+HNL+on+2026-06-30+return+2026-07-07
2026-04-01 15:37,Montreal -> New York,YUL,JFK,334,,YUL–JFK,Direct,2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+JFK+on+2026-05-01+return+2026-05-08
2026-04-01 15:38,Montreal -> New York,YUL,JFK,396,,Air Canada,1 escale(s),2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+JFK+on+2026-05-31+return+2026-06-07
2026-04-01 15:38,Montreal -> New York,YUL,JFK,390,,Air Canada,1 escale(s),2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+JFK+on+2026-06-30+return+2026-07-07
2026-04-01 15:38,Montreal -> Miami,YUL,MIA,489,,American,1 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+MIA+on+2026-05-01+return+2026-05-08
2026-04-01 15:38,Montreal -> Miami,YUL,MIA,518,,Air Canada,Direct,2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+MIA+on+2026-05-31+return+2026-06-07
2026-04-01 15:38,Montreal -> Miami,YUL,MIA,567,,Air Canada,Direct,2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+MIA+on+2026-06-30+return+2026-07-07
2026-04-01 16:04,Montreal -> Paris,YUL,CDG,1085,,Air Transat,1 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+CDG+on+2026-05-01+return+2026-05-08
2026-04-01 16:04,Montreal -> Paris,YUL,CDG,759,,Air TransatPorter Airlines,Direct,2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+CDG+on+2026-05-31+return+2026-06-07
2026-04-01 16:04,Montreal -> Paris,YUL,CDG,1077,,Air FranceDelta,Direct,2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+CDG+on+2026-06-30+return+2026-07-07
2026-04-01 16:04,Montreal -> Cancun,YUL,CUN,459,,United,2 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+CUN+on+2026-05-01+return+2026-05-08
2026-04-01 16:05,Montreal -> Cancun,YUL,CUN,460,,Air Transat,Direct,2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+CUN+on+2026-05-31+return+2026-06-07
2026-04-01 16:05,Montreal -> Cancun,YUL,CUN,553,,Aeromexico,1 escale(s),2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+CUN+on+2026-06-30+return+2026-07-07
2026-04-01 16:05,Montreal -> Tokyo Narita,YUL,NRT,1432,,United,1 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+NRT+on+2026-05-01+return+2026-05-08
2026-04-01 16:05,Montreal -> Tokyo Narita,YUL,NRT,1372,,Qatar Airways,1 escale(s),2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+NRT+on+2026-05-31+return+2026-06-07
2026-04-01 16:05,Montreal -> Tokyo Narita,YUL,NRT,1884,,Qatar Airways,1 escale(s),2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+NRT+on+2026-06-30+return+2026-07-07
2026-04-01 16:06,Montreal -> Tokyo Haneda,YUL,HND,1430,,Air Canada et ANA,1 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+HND+on+2026-05-01+return+2026-05-08
2026-04-01 16:06,Montreal -> Tokyo Haneda,YUL,HND,1418,,Qatar Airways et JAL,1 escale(s),2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+HND+on+2026-05-31+return+2026-06-07
2026-04-01 16:06,Montreal -> Tokyo Haneda,YUL,HND,1886,,Qatar Airways et JAL,1 escale(s),2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+HND+on+2026-06-30+return+2026-07-07
2026-04-01 16:06,Montreal -> Punta Cana,YUL,PUJ,702,,United,2 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+PUJ+on+2026-05-01+return+2026-05-08
2026-04-01 16:06,Montreal -> Punta Cana,YUL,PUJ,474,,Air CanadaVol opéré par Air Canada Rouge,Direct,2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+PUJ+on+2026-05-31+return+2026-06-07
2026-04-01 16:07,Montreal -> Punta Cana,YUL,PUJ,631,,WestJet,1 escale(s),2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+PUJ+on+2026-06-30+return+2026-07-07
2026-04-01 16:07,Montreal -> Hawai,YUL,HNL,653,,Delta,1 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+HNL+on+2026-05-01+return+2026-05-08
2026-04-01 16:07,Montreal -> Hawai,YUL,HNL,808,,Delta,2 escale(s),2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+HNL+on+2026-05-31+return+2026-06-07
2026-04-01 16:07,Montreal -> Hawai,YUL,HNL,728,,Delta,2 escale(s),2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+HNL+on+2026-06-30+return+2026-07-07
2026-04-01 16:07,Montreal -> New York,YUL,JFK,334,,YUL–JFK,Direct,2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+JFK+on+2026-05-01+return+2026-05-08
2026-04-01 16:08,Montreal -> New York,YUL,JFK,375,,Air Canada,2 escale(s),2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+JFK+on+2026-05-31+return+2026-06-07
2026-04-01 16:08,Montreal -> New York,YUL,JFK,343,,YUL–JFK,Direct,2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+JFK+on+2026-06-30+return+2026-07-07
2026-04-01 16:08,Montreal -> Miami,YUL,MIA,489,,American,1 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+MIA+on+2026-05-01+return+2026-05-08
2026-04-01 16:08,Montreal -> Miami,YUL,MIA,518,,Air Canada,Direct,2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+MIA+on+2026-05-31+return+2026-06-07
2026-04-01 16:08,Montreal -> Miami,YUL,MIA,567,,Air Canada,Direct,2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+MIA+on+2026-06-30+return+2026-07-07
2026-04-01 16:34,Montreal -> Paris,YUL,CDG,1085,,Air Transat,1 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+CDG+on+2026-05-01+return+2026-05-08
2026-04-01 16:34,Montreal -> Paris,YUL,CDG,759,,Air TransatPorter Airlines,Direct,2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+CDG+on+2026-05-31+return+2026-06-07
2026-04-01 16:34,Montreal -> Paris,YUL,CDG,1077,,Air FranceDelta,Direct,2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+CDG+on+2026-06-30+return+2026-07-07
2026-04-01 16:34,Montreal -> Cancun,YUL,CUN,459,,United,2 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+CUN+on+2026-05-01+return+2026-05-08
2026-04-01 16:35,Montreal -> Cancun,YUL,CUN,460,,Air Transat,Direct,2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+CUN+on+2026-05-31+return+2026-06-07
2026-04-01 16:35,Montreal -> Cancun,YUL,CUN,559,,Air CanadaVol opéré par Air Canada Rouge,Direct,2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+CUN+on+2026-06-30+return+2026-07-07
2026-04-01 16:35,Montreal -> Tokyo Narita,YUL,NRT,1235,,Air Canada,2 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+NRT+on+2026-05-01+return+2026-05-08
2026-04-01 16:35,Montreal -> Tokyo Narita,YUL,NRT,1239,,Air Canada,1 escale(s),2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+NRT+on+2026-05-31+return+2026-06-07
2026-04-01 16:35,Montreal -> Tokyo Narita,YUL,NRT,1884,,Qatar Airways,1 escale(s),2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+NRT+on+2026-06-30+return+2026-07-07
2026-04-01 16:36,Montreal -> Tokyo Haneda,YUL,HND,1430,,Air Canada et ANA,1 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+HND+on+2026-05-01+return+2026-05-08
2026-04-01 16:36,Montreal -> Tokyo Haneda,YUL,HND,1418,,Qatar Airways et JAL,1 escale(s),2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+HND+on+2026-05-31+return+2026-06-07
2026-04-01 16:36,Montreal -> Tokyo Haneda,YUL,HND,1886,,Qatar Airways et JAL,1 escale(s),2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+HND+on+2026-06-30+return+2026-07-07
2026-04-01 16:36,Montreal -> Punta Cana,YUL,PUJ,702,,United,2 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+PUJ+on+2026-05-01+return+2026-05-08
2026-04-01 16:36,Montreal -> Punta Cana,YUL,PUJ,409,,Air CanadaVol opéré par Air Canada Rouge,Direct,2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+PUJ+on+2026-05-31+return+2026-06-07
2026-04-01 16:37,Montreal -> Punta Cana,YUL,PUJ,619,,Air Canada,Direct,2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+PUJ+on+2026-06-30+return+2026-07-07
2026-04-01 16:37,Montreal -> Hawai,YUL,HNL,653,,Delta,1 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+HNL+on+2026-05-01+return+2026-05-08
2026-04-01 16:37,Montreal -> Hawai,YUL,HNL,808,,Delta,2 escale(s),2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+HNL+on+2026-05-31+return+2026-06-07
2026-04-01 16:37,Montreal -> Hawai,YUL,HNL,728,,Delta,2 escale(s),2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+HNL+on+2026-06-30+return+2026-07-07
2026-04-01 16:37,Montreal -> New York,YUL,JFK,334,,YUL–JFK,Direct,2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+JFK+on+2026-05-01+return+2026-05-08
2026-04-01 16:38,Montreal -> New York,YUL,JFK,375,,Air Canada,2 escale(s),2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+JFK+on+2026-05-31+return+2026-06-07
